cif,target,compound,status,n_pass,n_total,pb_sanitization,pb_inchi_convertible,pb_all_atoms_connected,pb_no_radicals,pb_bond_lengths,pb_bond_angles,pb_internal_steric_clash,pb_aromatic_ring_flatness,pb_non-aromatic_ring_non-flatness,pb_double_bond_flatness,pb_internal_energy,pb_protein-ligand_maximum_distance,pb_minimum_distance_to_protein,pb_minimum_distance_to_organic_cofactors,pb_minimum_distance_to_inorganic_cofactors,pb_minimum_distance_to_waters,pb_volume_overlap_with_protein,pb_volume_overlap_with_organic_cofactors,pb_volume_overlap_with_inorganic_cofactors,pb_volume_overlap_with_waters
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Oxyresveratrol/dct__Oxyresveratrol_model_0.cif,dct,Oxyresveratrol,bond_assign_failed: Can't kekulize mol.  Unkekulized atoms: 1 2 3 16 1,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Oxyresveratrol/tyr__Oxyresveratrol_model_0.cif,tyr,Oxyresveratrol,ok,16,20,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Kojic_acid/tyr__Kojic_acid_model_0.cif,tyr,Kojic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Puerarin/dct__Puerarin_model_0.cif,dct,Puerarin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__EGCG/tyrp1__EGCG_model_0.cif,tyrp1,EGCG,ok,18,20,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Kazinol_B/dct__Kazinol_B_model_0.cif,dct,Kazinol_B,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Puerarin/tyrp1__Puerarin_model_0.cif,tyrp1,Puerarin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Hydroquinone/tyr__Hydroquinone_model_0.cif,tyr,Hydroquinone,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Arbutin/tyr__Arbutin_model_0.cif,tyr,Arbutin,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__EGCG/tyr__EGCG_model_0.cif,tyr,EGCG,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Hydroquinone/dct__Hydroquinone_model_0.cif,dct,Hydroquinone,ok,18,20,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Mulberroside_A/tyr__Mulberroside_A_model_0.cif,tyr,Mulberroside_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Kazinol_B/tyr__Kazinol_B_model_0.cif,tyr,Kazinol_B,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Puerarin/tyr__Puerarin_model_0.cif,tyr,Puerarin,ok,16,20,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Kojic_acid/tyrp1__Kojic_acid_model_0.cif,tyrp1,Kojic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Arbutin/dct__Arbutin_model_0.cif,dct,Arbutin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Hydroquinone/tyrp1__Hydroquinone_model_0.cif,tyrp1,Hydroquinone,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Licochalcone_A/tyrp1__Licochalcone_A_model_0.cif,tyrp1,Licochalcone_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Curcumin/dct__Curcumin_model_0.cif,dct,Curcumin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Arbutin/tyrp1__Arbutin_model_0.cif,tyrp1,Arbutin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Resveratrol/dct__Resveratrol_model_0.cif,dct,Resveratrol,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Mulberroside_A/dct__Mulberroside_A_model_0.cif,dct,Mulberroside_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Curcumin/tyr__Curcumin_model_0.cif,tyr,Curcumin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Glabridin/tyrp1__Glabridin_model_0.cif,tyrp1,Glabridin,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Resveratrol/tyr__Resveratrol_model_0.cif,tyr,Resveratrol,ok,17,20,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Niacinamide/tyr__Niacinamide_model_0.cif,tyr,Niacinamide,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Resveratrol/tyrp1__Resveratrol_model_0.cif,tyrp1,Resveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Licochalcone_A/tyr__Licochalcone_A_model_0.cif,tyr,Licochalcone_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Daidzein/tyrp1__Daidzein_model_0.cif,tyrp1,Daidzein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Kojic_acid/dct__Kojic_acid_model_0.cif,dct,Kojic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Niacinamide/tyrp1__Niacinamide_model_0.cif,tyrp1,Niacinamide,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Niacinamide/dct__Niacinamide_model_0.cif,dct,Niacinamide,"bond_assign_failed: Explicit valence for atom # 2 O, 3, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__EGCG/dct__EGCG_model_0.cif,dct,EGCG,"bond_assign_failed: Explicit valence for atom # 0 O, 3, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Oxyresveratrol/tyrp1__Oxyresveratrol_model_0.cif,tyrp1,Oxyresveratrol,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Daidzein/tyr__Daidzein_model_0.cif,tyr,Daidzein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Curcumin/tyrp1__Curcumin_model_0.cif,tyrp1,Curcumin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Glabridin/tyr__Glabridin_model_0.cif,tyr,Glabridin,"bond_assign_failed: Explicit valence for atom # 1 C, 6, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyr__Paeoniflorin/tyr__Paeoniflorin_model_0.cif,tyr,Paeoniflorin,"bond_assign_failed: Explicit valence for atom # 8 C, 5, is greater tha",0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Paeoniflorin/tyrp1__Paeoniflorin_model_0.cif,tyrp1,Paeoniflorin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Daidzein/dct__Daidzein_model_0.cif,dct,Daidzein,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/dct__Glabridin/dct__Glabridin_model_0.cif,dct,Glabridin,ok,18,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Mulberroside_A/tyrp1__Mulberroside_A_model_0.cif,tyrp1,Mulberroside_A,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/pigmentation/boltz_output/boltz_results_boltz_inputs/predictions/tyrp1__Kazinol_B/tyrp1__Kazinol_B_model_0.cif,tyrp1,Kazinol_B,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Astragaloside_IV/ctnnb1__Astragaloside_IV_model_0.cif,ctnnb1,Astragaloside_IV,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Ginsenoside_Rb1/srd5a2__Ginsenoside_Rb1_model_0.cif,srd5a2,Ginsenoside_Rb1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Ginsenoside_Rg1/ar__Ginsenoside_Rg1_model_0.cif,ar,Ginsenoside_Rg1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Physcion/ctnnb1__Physcion_model_0.cif,ctnnb1,Physcion,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Procyanidin_B2/srd5a2__Procyanidin_B2_model_0.cif,srd5a2,Procyanidin_B2,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Ginsenoside_Rg1/ctnnb1__Ginsenoside_Rg1_model_0.cif,ctnnb1,Ginsenoside_Rg1,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Ferulic_acid/ar__Ferulic_acid_model_0.cif,ar,Ferulic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Finasteride/srd5a2__Finasteride_model_0.cif,srd5a2,Finasteride,ok,20,20,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Saponin_Re/ctnnb1__Saponin_Re_model_0.cif,ctnnb1,Saponin_Re,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/srd5a2__Thujin/srd5a2__Thujin_model_0.cif,srd5a2,Thujin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__EGCG/ctnnb1__EGCG_model_0.cif,ctnnb1,EGCG,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Emodin/ar__Emodin_model_0.cif,ar,Emodin,ok,19,20,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Procyanidin_B2/ctnnb1__Procyanidin_B2_model_0.cif,ctnnb1,Procyanidin_B2,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ctnnb1__Ferulic_acid/ctnnb1__Ferulic_acid_model_0.cif,ctnnb1,Ferulic_acid,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
/home/crazat/genesis_medicine/pilot/screen/alopecia/boltz_output/boltz_results_boltz_inputs/predictions/ar__Astragaloside_IV/ar__Astragaloside_IV_model_0.cif,ar,Astragaloside_IV,no_smiles_in_index,0,0,,,,,,,,,,,,,,,,,,,,
